Azul ,AZUL4,R$,"37,81",R$,"44,00",-,-,NEUTRA,2,3,5,"16,4",
Gol ,GOLL4,R$,"22,76",R$,"29,00",-,-,NEUTRA,2,3,5,"27,4",
Cosan Energia ,CSAN3,R$,"90,80",R$,"80,00",-,-,VENDA,2,3,5,"-11,9",
Jalles Machado ,JALL3,R$,"8,22",R$,"16,00",R$,"15,00",COMPRA,3,4,7,"94,6",
São Martinho ,SMTO3,R$,"30,91",R$,"33,00",-,-,NEUTRA,2,3,5,"6,8",
Brasil Agro ,AGRO3,R$,"27,89",R$,"33,00",R$,"31,00",COMPRA,3,3,6,"18,3",
SLC Agrícola ,SLCE3,R$,"48,82",R$,"49,00",-,-,NEUTRA,3,3,6,"0,4",
Ambev ,ABEV3,R$,"15,80",R$,"16,00",-,-,NEUTRA,2,4,6,"1,3",
Minerva Foods ,BEEF3,R$,"10,72",R$,"18,00",R$,"16,50",COMPRA,3,3,6,"67,9",
BRF ,BRFS3,R$,"23,59",R$,"30,00",R$,"28,00",COMPRA,4,4,8,"27,2",
Camil Alimentos ,CAML3,R$,"10,33",R$,"16,00",R$,"15,00",COMPRA,3,3,6,"54,9",
JBS ,JBSS3,R$,"33,41",R$,"30,00",-,-,NEUTRA,4,4,8,"-10,2",
M. Dias Branco ,MDIA3,R$,"28,90",R$,"43,00",-,-,NEUTRA,3,3,6,"48,8",
Marfrig ,MRFG3,R$,"19,36",R$,"21,00",R$,"19,50",COMPRA,3,3,6,"8,5",
Banco ABC Brasil ,ABCB4,R$,"14,77",R$,"20,00",R$,"18,50",COMPRA,2,4,6,"35,4",
Banco do Brasil ,BBAS3,R$,"29,77",R$,"46,00",R$,"43,00",COMPRA,2,3,5,"54,5",
Bradesco ,BBDC4,R$,"26,10",R$,"33,00",R$,"31,00",COMPRA,3,4,7,"26,4",
Banco Inter ,BIDI11,R$,"191,56",Sob,revisão,-,-,COMPRA,2,4,6,-,
Banco BMG ,BMGB4,R$,"4,82",R$,"7,50",R$,"7,00",COMPRA,2,3,5,"55,6",
Banco BTG Pactual ,BPAC11,R$,"101,14",R$,"134,00",R$,"124,00",COMPRA,2,3,5,"32,5",
Banco Pan ,BPAN4,R$,"15,53",Sob,revisão,-,-,COMPRA,2,3,5,-,
Banrisul ,BRSR6,R$,"11,89",R$,"17,00",R$,"15,50",COMPRA,2,3,5,"43,0",
Itaú Unibanco ,ITUB4,R$,"27,95",R$,"37,00",R$,"34,00",COMPRA,3,5,8,"32,4",
Itausa ,ITSA4,R$,"10,30",R$,"14,00",R$,"13,00",COMPRA,3,5,8,"35,9",
Banco Santander Brasil ,SANB11,R$,"38,75",R$,"46,00",-,-,NEUTRA,2,4,6,"18,7",
Grupo CCR ,CCRO3,R$,"12,27",Sob,revisão,-,-,NEUTRA,2,3,5,-,
Ecorodovias ,ECOR3,R$,"11,34",Sob,revisão,-,-,NEUTRA,2,3,5,-,
Cury ,CURY3,R$,"10,37",R$,"17,00",R$,"15,50",COMPRA,3,3,6,"63,9",
Cyrela ,CYRE3,R$,"25,62",R$,"40,00",R$,"37,00",COMPRA,3,4,7,"56,1",
Direcional ,DIRR3,R$,"13,31",R$,"21,00",R$,"19,50",COMPRA,3,3,6,"57,8",
Even ,EVEN3,R$,"10,94",R$,"16,00",R$,"15,00",COMPRA,2,2,4,"46,3",
EZTec ,EZTC3,R$,"34,08",R$,"60,00",R$,"56,00",COMPRA,4,4,8,"76,1",
JHSF ,JHSF3,R$,"7,03",R$,"10,00",R$,"9,00",COMPRA,2,3,5,"42,2",
Lavvi ,LAVV3,R$,"8,25",R$,"12,00",R$,"11,00",COMPRA,2,2,4,"45,5",
Melnick ,MELK3,R$,"5,94",R$,"11,00",R$,"10,00",COMPRA,3,4,7,"85,2",
Moura Dubeux ,MDNE3,R$,"8,90",R$,"14,00",R$,"13,00",COMPRA,2,2,4,"57,3",
MRV Engenharia ,MRVE3,R$,"18,81",R$,"28,00",R$,"26,00",COMPRA,3,4,7,"48,9",
Mitre ,MTRE3,R$,"12,74",R$,"20,00",R$,"18,50",COMPRA,3,4,7,"57,0",
Plano&Plano ,PLPL3,R$,"7,08",R$,"11,00",R$,"10,00",COMPRA,3,4,7,"55,4",
Tenda ,TEND3,R$,"27,54",R$,"36,00",R$,"33,00",COMPRA,4,4,8,"30,7",
Trisul ,TRIS3,R$,"10,19",R$,"18,00",R$,"16,50",COMPRA,2,3,5,"76,6",
Anima Educação ,ANIM3,R$,"10,65",R$,"15,00",R$,"13,50",COMPRA,2,4,6,"40,8",
Cogna ,COGN3,R$,"4,19",R$,"5,00",-,-,NEUTRA,1,2,3,"19,3",
Cruzeiro do Sul ,CSED3,R$,"12,20",R$,"26,00",R$,"24,00",COMPRA,2,4,6,"113,1",
Ser Educacional ,SEER3,R$,"14,03",R$,"22,00",R$,"20,00",COMPRA,2,3,5,"56,8",
YDUQS ,YDUQ3,R$,"32,16",R$,"53,00",R$,"49,00",COMPRA,2,4,6,"64,8",
Cemig ,CMIG4,R$,"12,90",R$,"17,00",-,-,NEUTRA,2,2,4,"31,8",
Copel ,CPLE6,R$,"6,54",R$,"8,80",R$,"8,00",COMPRA,3,3,6,"34,6",
Equatorial ,EQTL3,R$,"24,94",R$,"26,00",-,-,COMPRA,4,5,9,"4,3",
Engie ,EGIE3,R$,"41,94",R$,"50,00",-,-,NEUTRA,5,4,9,"19,2",
Energias do Brasil ,ENBR3,R$,"19,00",R$,"26,00",R$,"24,00",COMPRA,4,4,8,"36,8",
Focus Energia ,POWE3,R$,"13,87",R$,"19,00",-,-,NEUTRA,2,2,4,"37,0",
Light ,LIGT3,R$,"18,99",R$,"24,00",-,-,NEUTRA,1,1,2,"26,4",
Neoenergia ,NEOE3,R$,"16,64",R$,"21,00",-,-,NEUTRA,4,3,7,"26,2",
