Data,Praça,C/V,Tipo Mercado,Especificação do Título,OBS(*),Quantidade,Preço Liquidação (R$),Compra/Venda (R$),D/C,Ignorar
05/05/2020,1-Bovespa,C,VIS,BRFS3 ON NM,,200,"18,95","3.790,00",D,
05/05/2020,1-Bovespa,C,VIS,CSAN3 ON NM,,100,"60,6","6.060,00",D,
30/04/2020,1-Bovespa,C,VIS,BRFS3 ON NM,,200,"19,43","3.886,00",D,
30/04/2020,1-Bovespa,C,VIS,SAPR11 UNT N2,,200,"25,62","5.124,00",D,
30/04/2020,1-Bovespa,C,VIS,UGPA3 ON NM,,300,"14,49","4.347,00",D,
24/04/2020,1-Bovespa,C,VIS,PCAR3 ON NM,,100,"64,22","6.422,00",D,
24/04/2020,1-Bovespa,V,VIS,RAIL3 ON NM,,200,"20,28","4.056,00",C,
24/04/2020,1-Bovespa,V,VIS,SMTO3 ON NM,,200,"18,13","3.626,00",C,
24/04/2020,1-Bovespa,V,VIS,TUPY3 ON NM,,200,"14,04","2.808,00",C,
24/04/2020,1-Bovespa,V,VIS,VVAR3 ON NM,,100,"6,94","694,00",C,
24/04/2020,1-Bovespa,V,VIS,BBAS3 ON NM,,100,"24,62","2.462,00",C,
24/04/2020,1-Bovespa,V,VIS,BPAN4 PN N1,,500,"5,41","2.705,00",C,
24/04/2020,1-Bovespa,C,VIS,CESP6 PNB N1,,100,"25,24","2.524,00",D,
24/04/2020,1-Bovespa,V,VIS,EGIE3 ON NM,,200,"39,58","7.916,00",C,
24/04/2020,1-Bovespa,C,VIS,ENBR3 ON NM,D,200,"15,83","3.166,00",D,
24/04/2020,1-Bovespa,V,VIS,ENBR3 ON NM,D,200,"16,81","3.362,00",C,
24/04/2020,1-Bovespa,V,VIS,ENGI11 UNT N2,,100,"43,11","4.311,00",C,
24/04/2020,1-Bovespa,C,VIS,IVVB11 CI,,20,169,"3.380,00",D,
24/04/2020,1-Bovespa,V,VIS,MATB11 CI,,200,"26,98","5.396,00",C,
23/04/2020,1-Bovespa,C,VIS,BBAS3 ON NM,,100,"28,15","2.815,00",D,
23/04/2020,1-Bovespa,C,VIS,BPAN4 PN N1,,500,"5,39","2.695,00",D,
23/04/2020,1-Bovespa,C,VIS,CPLE6 PNB N1,,100,"58,16","5.816,00",D,
22/04/2020,1-Bovespa,V,VIS,CSNA3 ON,,200,"7,42","1.484,00",C,
22/04/2020,1-Bovespa,V,VIS,MOVI3 ON NM,,300,"11,49","3.447,00",C,
20/04/2020,1-Bovespa,C,VIS,IVVB11 CI,,30,161,"4.830,00",D,
20/04/2020,1-Bovespa,C,VIS,MOVI3 ON NM,,300,"10,65","3.195,00",D,
17/04/2020,1-Bovespa,C,VIS,LOGN3 ON NM,,200,"14,09","2.818,00",D,
14/04/2020,1-Bovespa,C,VIS,BBDC4 PN EJB N1,,100,"21,83","2.183,00",D,
14/04/2020,1-Bovespa,C,VIS,CRPG5 PNA,,100,"20,6","2.060,00",D,
14/04/2020,1-Bovespa,C,VIS,MRFG3 ON NM,,400,"9,56","3.824,00",D,
14/04/2020,1-Bovespa,C,VIS,ODPV3 ON NM,,200,"14,45","2.890,00",D,
14/04/2020,1-Bovespa,C,VIS,SMTO3 ON NM,,200,"16,75","3.350,00",D,
14/04/2020,1-Bovespa,C,VIS,TUPY3 ON NM,,200,"13,32","2.664,00",D,
14/04/2020,1-Bovespa,C,VIS,VVAR3 ON NM,,400,"5,9","2.360,00",D,
07/04/2020,1-Bovespa,C,OPV,"BOVAP70 CI 70,00",,400,"1,22","488,00",D,
06/04/2020,1-Bovespa,C,VIS,AGRO3 ON NM,,200,"17,44","3.488,00",D,
06/04/2020,1-Bovespa,C,VIS,EGIE3 ON NM,,200,"38,7","7.740,00",D,
06/04/2020,1-Bovespa,C,VIS,ENGI11 UNT N2,,200,"37,3","7.460,00",D,
06/04/2020,1-Bovespa,C,VIS,KLBN11 UNT N2,,300,17,"5.100,00",D,
03/04/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,500,"8,72","4.360,00",D,
01/04/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,400,"9,14","3.656,00",D,
01/04/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"9,15","915,00",D,
31/03/2020,1-Bovespa,V,VIS,IRBR3 ON NM,,1000,"10,48","10.480,00",C,
27/03/2020,1-Bovespa,C,VIS,JBSS3 ON NM,,200,"21,2","4.240,00",D,
27/03/2020,1-Bovespa,C,VIS,MGLU3 ON NM,,100,"39,75","3.975,00",D,
27/03/2020,1-Bovespa,C,VIS,RAIL3 ON NM,,200,20,"4.000,00",D,
26/03/2020,1-Bovespa,V,VIS,AZUL4 PN N2,,100,"23,26","2.326,00",C,
26/03/2020,1-Bovespa,V,VIS,VVAR3 ON NM,,1.000,"5,68","5.680,00",C,
18/03/2020,1-Bovespa,C,VIS,AALR3 ON NM,,300,"9,99","2.997,00",D,
18/03/2020,1-Bovespa,C,VIS,ITSA4 PN N1,,300,"9,18","2.754,00",D,
18/03/2020,1-Bovespa,C,VIS,KLBN11 UNT N2,,200,"13,01","2.602,00",D,
18/03/2020,1-Bovespa,C,VIS,MATB11 CI,,200,"21,55","4.310,00",D,
18/03/2020,1-Bovespa,C,VIS,VVAR3 ON NM,,1.000,"4,82","4.820,00",D,
16/03/2020,1-Bovespa,V,VIS,SHOW3 ON NM,,400,"2,1",840,C,
12/03/2020,1-Bovespa,C,VIS,AZUL4 PN N2,,100,"21,5","2.150,00",D,
12/03/2020,1-Bovespa,C,VIS,BBDC4 PN EJ N1,,100,"22,1","2.210,00",D,
12/03/2020,1-Bovespa,C,VIS,CSNA3 ON,,200,"6,37","1.274,00",D,
12/03/2020,1-Bovespa,C,VIS,CYRE3 ON NM,,200,"18,3","3.660,00",D,
12/03/2020,1-Bovespa,C,VIS,ENBR3 ON NM,,100,"17,01","1.701,00",D,
12/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,200,"9,16","1.832,00",D,
